fold,train_size,test_size,accuracy,f1_macro,f1_weighted,f1_bear,f1_sideways,f1_bull,transition_acc
2015,1662,244,0.9262295081967213,0.9190638574270288,0.9260890528699005,0.9347826086956522,0.9047619047619048,0.9176470588235294,0.0
2016,1906,244,0.9057377049180327,0.8439882013411425,0.9054193175034544,0.9083333333333333,0.7058823529411765,0.9177489177489178,0.1
2017,2150,248,0.9959677419354839,0.498989898989899,0.9939556858911698,0.0,0.0,0.997979797979798,0.5
2018,2398,245,0.9428571428571428,0.6278923660502608,0.9408608877405871,0.9297297297297298,0.0,0.9539473684210527,0.125
2019,2643,241,0.946058091286307,0.9278896396396398,0.9465026073791634,0.896,0.918918918918919,0.96875,0.42857142857142855
2020,2884,250,0.948,0.9336719115126967,0.9487971335098926,0.9591836734693877,0.9618320610687023,0.88,0.16666666666666666
2021,3134,248,0.9637096774193549,0.9400012458448245,0.963546662642941,0.958904109589041,0.8780487804878049,0.9830508474576272,0.0
2022,3382,248,0.9556451612903226,0.9402957790637737,0.9556707200737244,0.9644012944983819,0.9047619047619048,0.9517241379310345,0.2
2023,3630,245,0.9918367346938776,0.33196721311475413,0.9918367346938776,0.0,0.0,0.9959016393442623,0.5
2024,3875,244,0.8852459016393442,0.8783005040534627,0.885798341033241,0.8175182481751825,0.9047619047619048,0.912621359223301,0.2
