fold,train_size,test_size,accuracy,f1_macro,f1_weighted,f1_bear,f1_sideways,f1_bull,transition_acc
2015,1662,244,0.5573770491803278,0.23859649122807017,0.3989646246764452,0.7157894736842105,0.0,0.0,0.5
2016,1906,244,0.47950819672131145,0.21606648199445985,0.31081694745924343,0.6481994459833795,0.0,0.0,0.4
2017,2150,248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,2398,245,0.3795918367346939,0.18343195266272191,0.20888781548122207,0.5502958579881657,0.0,0.0,0.5
2019,2643,241,0.24896265560165975,0.132890365448505,0.09925421485780456,0.39867109634551495,0.0,0.0,0.42857142857142855
2020,2884,250,0.596,0.24895572263993315,0.4451328320802005,0.7468671679197995,0.0,0.0,0.5
2021,3134,248,0.43951612903225806,0.2035480859010271,0.26838800036143495,0.6106442577030813,0.0,0.0,0.5
2022,3382,248,0.625,0.25641025641025644,0.4807692307692308,0.7692307692307693,0.0,0.0,0.4
2023,3630,245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,3875,244,0.27459016393442626,0.14362272240085747,0.11831216066628011,0.43086816720257237,0.0,0.0,0.4
